File,Channel_1_Mean,Channel_1_Var,Channel_1_Std,Channel_2_Mean,Channel_2_Var,Channel_2_Std,Channel_3_Mean,Channel_3_Var,Channel_3_Std,Channel_4_Mean,Channel_4_Var,Channel_4_Std
phaseShiftData0.csv,2.6367187500000002e-08,3.482776988636363e-13,5.90150573043555e-07,-105.98534704882812,0.11712456532213636,0.34223466411533526,-105.57787055468751,0.05878437116512714,0.24245488480360042,-155.5128106484375,0.11785527438060334,0.34330055983147384
phaseShiftData1.csv,3.3203125e-08,3.683979411045943e-13,6.069579401446152e-07,52.86214584765625,0.12736536318956232,0.3568828423860726,-127.72596485449219,0.053882733121176286,0.232126545490119,-66.84847037402344,0.12386189402654516,0.3519401852965148
phaseShiftData2.csv,-1.4648437500000002e-08,3.526688889907135e-13,5.938593175077019e-07,125.08472466894531,0.13537889151389534,0.3679387061915277,48.92395489941406,0.0519856857121668,0.22800369670723938,137.94540283007814,0.13639079628454964,0.3693112458138117
phaseShiftData3.csv,-1.7578125e-08,3.6723713954056685e-13,6.060009402142598e-07,-90.04246426953125,0.15348720268631227,0.3917744283210841,-104.65136836816407,0.04598930403204714,0.21445116934175745,-86.62848177246093,0.13123816126576912,0.3622680792807574
phaseShiftData4.csv,3.906249999999997e-09,4.144519794721407e-13,6.437794494018434e-07,169.4652627294922,0.16274043525704204,0.40341100041650085,168.93886388183594,0.05280041388616093,0.22978340646391535,113.14412673144531,0.12441520300849383,0.3527253932005659
phaseShiftData5.csv,-2.4414062499999998e-08,3.874776622067448e-13,6.224770374935486e-07,-40.50911698242187,0.1310156718668795,0.36196087062951915,32.02208843554688,0.05292967934234969,0.2300645112622755,54.891646287109374,0.15533422851111015,0.3941246357576625
phaseShiftData6.csv,-2.4414062499999998e-08,3.874776622067448e-13,6.224770374935486e-07,-40.50911698242187,0.1310156718668795,0.36196087062951915,32.02208843554688,0.05292967934234969,0.2300645112622755,54.891646287109374,0.15533422851111015,0.3941246357576625
phaseShiftData7.csv,3.906250000000001e-09,3.40160679374389e-13,5.832329546368149e-07,-52.73766345507812,0.1385406557853763,0.37221049929492356,-11.231354207031249,0.05859550689023862,0.24206508812763278,127.37705221582031,0.13805336476103924,0.3715553320315014
phaseShiftData8.csv,1.85546875e-08,3.584041651392961e-13,5.986686605621644e-07,-160.7478926064453,0.147372809554634,0.3838916638254001,-3.9235604453125,0.05234326310436651,0.2287865011410562,47.1961613828125,0.13164194165765583,0.36282494630007983
phaseShiftData9.csv,1.4648437499999997e-08,3.7221923112170084e-13,6.100977225999954e-07,37.63177503320313,0.12065330717437815,0.34735184924565776,-157.73043068750002,0.06167253311551309,0.24833955205627856,-36.36120348242188,0.13177649913428519,0.3630103292391074
